Título,Veículo,Resumo,Resumo bruto,Link,Data
O que o caos da saúde pública no Brasil evidencia sobre a desigualdade? - Oxfam Brasil,Oxfam Brasil,O que o caos da saúde pública no Brasil evidencia sobre a desigualdade?,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxOZlFkWGJDalJBSElGaS1VeERyWTNMSWhtdEZrc0R2dHc1TUNqQ21SUkh5Tkd0Mm1vMVBoYW1Gc0paUHljRDEwc0JIQ1VYY2dFMVlaUjd4QzRSVzl0X1plb1VFbE91SDAwMGM3ZVZWd3JWdWUyY1F3SHM3bHpPcHE5bGF2SWtMSWk2Um9uWmk1eWRvcnNkd01RMjI5NVN6b01SZk53?oc=5"" target=""_blank"">O que o caos da saúde pública no Brasil evidencia sobre a desigualdade?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oxfam Brasil</font>",https://news.google.com/rss/articles/CBMiowFBVV95cUxOZlFkWGJDalJBSElGaS1VeERyWTNMSWhtdEZrc0R2dHc1TUNqQ21SUkh5Tkd0Mm1vMVBoYW1Gc0paUHljRDEwc0JIQ1VYY2dFMVlaUjd4QzRSVzl0X1plb1VFbE91SDAwMGM3ZVZWd3JWdWUyY1F3SHM3bHpPcHE5bGF2SWtMSWk2Um9uWmk1eWRvcnNkd01RMjI5NVN6b01SZk53?oc=5,2020-05-18
Huck vê problemas em taxar fortunas no Brasil: 'Dinheiro vai escapar' [28/04/2020] - UOL Confere,UOL Confere,Huck vê problemas em taxar fortunas no Brasil: 'Dinheiro vai escapar' [28/04/2020],"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPS25ZUTBZdmFnTTVScVhBVzZELXRQZW1ld21fRmtFUEUyQ2p4MzJnX3NmT0JETWhjdzlYclV5Q3dCNWJkNkhTM3VZVlRqVDNUdjVZMGdkZDZDUEVGN0ZWU3RoeW16YVFBYV9BMm9NRGZxMEJ3R2RfS1hUM0JGdmRrNkVyRy03bzZ4UjlYMm1WSnlib29sVG5Id20ycU1WMEEtRnNDXzdQTm9pazFEa0ttRW1aZm1YYWVPNGxnbkJWdThOUG1Ga0s3bnJ3aWdWRUFq?oc=5"" target=""_blank"">Huck vê problemas em taxar fortunas no Brasil: 'Dinheiro vai escapar' [28/04/2020]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UOL Confere</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPS25ZUTBZdmFnTTVScVhBVzZELXRQZW1ld21fRmtFUEUyQ2p4MzJnX3NmT0JETWhjdzlYclV5Q3dCNWJkNkhTM3VZVlRqVDNUdjVZMGdkZDZDUEVGN0ZWU3RoeW16YVFBYV9BMm9NRGZxMEJ3R2RfS1hUM0JGdmRrNkVyRy03bzZ4UjlYMm1WSnlib29sVG5Id20ycU1WMEEtRnNDXzdQTm9pazFEa0ttRW1aZm1YYWVPNGxnbkJWdThOUG1Ga0s3bnJ3aWdWRUFq?oc=5,2020-04-28
"Com nova lei, quem tem direito ao auxílio emergencial de R$ 600 - CNN Brasil",CNN Brasil,"Com nova lei, quem tem direito ao auxílio emergencial de R$ 600","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQazE2TklCWFNDYnczVkFNRjB2amYzZjRrblNITGlaQlhuRkhfelJzbnZWZEJmcmRPZWcwMmVkR25aT2ZiT0xKTjl4U18tX0dnTnNBbFRjTDlVRjBIM2VvNVFqYkhBbGx2YjI1b1FfY2dVbkh1RVFDOWZPMlJBZ2RWTkVnQ0k5ek1UbUJUYUZmc0RjbXBYem9WaWFCOWtucDhhTU5n?oc=5"" target=""_blank"">Com nova lei, quem tem direito ao auxílio emergencial de R$ 600</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMiowFBVV95cUxQazE2TklCWFNDYnczVkFNRjB2amYzZjRrblNITGlaQlhuRkhfelJzbnZWZEJmcmRPZWcwMmVkR25aT2ZiT0xKTjl4U18tX0dnTnNBbFRjTDlVRjBIM2VvNVFqYkhBbGx2YjI1b1FfY2dVbkh1RVFDOWZPMlJBZ2RWTkVnQ0k5ek1UbUJUYUZmc0RjbXBYem9WaWFCOWtucDhhTU5n?oc=5,2020-05-15
"Credit Suisse prevê dólar a R$ 6,20 e diz que real é moeda ‘tóxica’ - CNN Brasil",CNN Brasil,"Credit Suisse prevê dólar a R$ 6,20 e diz que real é moeda ‘tóxica’","<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPNlYyY0hlN0s3Z1hlUkNrdnFqRU03UElxdXpNaDA2ZnJkWVFCeWFScEZvdmFaY3hYVkJReG96dDlCZUZZR3JFRk44YnVFdUZ3eFlLX2duUEo0UFdqVHJSeE0zRWtFM0szcDNoenIwd1BnMEVoaS1YU3lHWHZoZWY2RHZKRFQ1RG9aTkVfNmo2TmxrbXJfWWNseVJEbTFQYmxSZWt1c0ZfaVZxeUE4eUhPR05Uak1SNzJk?oc=5"" target=""_blank"">Credit Suisse prevê dólar a R$ 6,20 e diz que real é moeda ‘tóxica’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPNlYyY0hlN0s3Z1hlUkNrdnFqRU03UElxdXpNaDA2ZnJkWVFCeWFScEZvdmFaY3hYVkJReG96dDlCZUZZR3JFRk44YnVFdUZ3eFlLX2duUEo0UFdqVHJSeE0zRWtFM0szcDNoenIwd1BnMEVoaS1YU3lHWHZoZWY2RHZKRFQ1RG9aTkVfNmo2TmxrbXJfWWNseVJEbTFQYmxSZWt1c0ZfaVZxeUE4eUhPR05Uak1SNzJk?oc=5,2020-05-20
"Uber tem prejuízo de US$ 2,9 bilhões, mas receita sobe com entrega de comida - CNN Brasil",CNN Brasil,"Uber tem prejuízo de US$ 2,9 bilhões, mas receita sobe com entrega de comida","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQdGNMa0Z6NG1pdEhTREZ5OXFRSm1hY2Z4RHFRckxxTUJEX011cEJia29GcUdSWlRxa3VvTkY0NXJpQl9mNjMwR3F0U21MQ1l1M282MG1hcDhsdnExMXFfWmJqMnY0NS1hblhibE5YRF9vb3BsNEM1ZmlOWmNQSE13SVNuRW40T0hGM29tLWZ1ekVXZHFTbHdINUJiSGNDeUQxWmhpS3NmSkNFOVlwcUdSbzZ4cVpqMmhBWmNMd0ltTQ?oc=5"" target=""_blank"">Uber tem prejuízo de US$ 2,9 bilhões, mas receita sobe com entrega de comida</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMivwFBVV95cUxQdGNMa0Z6NG1pdEhTREZ5OXFRSm1hY2Z4RHFRckxxTUJEX011cEJia29GcUdSWlRxa3VvTkY0NXJpQl9mNjMwR3F0U21MQ1l1M282MG1hcDhsdnExMXFfWmJqMnY0NS1hblhibE5YRF9vb3BsNEM1ZmlOWmNQSE13SVNuRW40T0hGM29tLWZ1ekVXZHFTbHdINUJiSGNDeUQxWmhpS3NmSkNFOVlwcUdSbzZ4cVpqMmhBWmNMd0ltTQ?oc=5,2020-05-07
STJ reforma decisão em caso de inscrição indevida no Sisbacen - ConJur,ConJur,STJ reforma decisão em caso de inscrição indevida no Sisbacen,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPWnZrQnQ2R0NRWFZkU3J3dUhnbHZEd2xDemR5MndNaUdYQzB4TjFCbmppMGs0d29CcTc0UUJjaHJMZUxMeElrd3JCYmU4X1BVbDhnaWljWmZuNVpyemNOTWhuS3NWeDY5T2lOR0lLVnI0SlVua29HUUpqbTdTaEM2UEV6YXJrQy04QnJYS2JBWQ?oc=5"" target=""_blank"">STJ reforma decisão em caso de inscrição indevida no Sisbacen</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ConJur</font>",https://news.google.com/rss/articles/CBMijwFBVV95cUxPWnZrQnQ2R0NRWFZkU3J3dUhnbHZEd2xDemR5MndNaUdYQzB4TjFCbmppMGs0d29CcTc0UUJjaHJMZUxMeElrd3JCYmU4X1BVbDhnaWljWmZuNVpyemNOTWhuS3NWeDY5T2lOR0lLVnI0SlVua29HUUpqbTdTaEM2UEV6YXJrQy04QnJYS2JBWQ?oc=5,2020-05-05
Prefeitura de Catanduva adota atendimento via WhatsApp sobre tributos - Impostômetro,Impostômetro,Prefeitura de Catanduva adota atendimento via WhatsApp sobre tributos,"<a href=""https://news.google.com/rss/articles/CBMiakFVX3lxTE9Kbmh4SGtWOFp0bkhKMFBfeG84eFJzdjdwTjdfd0JnMUd5bXYyWXlXNUJzbVZrbFlOUWh3RHItVC1zeEtfUEdyaFZkeXptM1dMLTJ2Y2RRT014dnhHVjFzVWJSQ3V3aDRRQ3c?oc=5"" target=""_blank"">Prefeitura de Catanduva adota atendimento via WhatsApp sobre tributos</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Impostômetro</font>",https://news.google.com/rss/articles/CBMiakFVX3lxTE9Kbmh4SGtWOFp0bkhKMFBfeG84eFJzdjdwTjdfd0JnMUd5bXYyWXlXNUJzbVZrbFlOUWh3RHItVC1zeEtfUEdyaFZkeXptM1dMLTJ2Y2RRT014dnhHVjFzVWJSQ3V3aDRRQ3c?oc=5,2020-05-19
Fux envia à PGR notícia-crime contra Bolsonaro por superfaturamento - CNN Brasil,CNN Brasil,Fux envia à PGR notícia-crime contra Bolsonaro por superfaturamento,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxNWTFiQXlGT0hndk5uRWMzRDRWYUVseDRBNklTQklGYV9vNmNqNU9Id2Izb3RiRER2UnoxUjdTRmxwM3J2bmppY05iTG16QmdaVG1abF9OLVFaenNoMUtnRlgzR3JxTUc0eHlKWFhXenh0c2pkMXVwM1lHd2JHSVVkcWF3SU9LUngyeGQzNVlpS3VoTjZSSTl2TlFJc3VubEd6SzJXZEQ3bHowQQ?oc=5"" target=""_blank"">Fux envia à PGR notícia-crime contra Bolsonaro por superfaturamento</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Brasil</font>",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNWTFiQXlGT0hndk5uRWMzRDRWYUVseDRBNklTQklGYV9vNmNqNU9Id2Izb3RiRER2UnoxUjdTRmxwM3J2bmppY05iTG16QmdaVG1abF9OLVFaenNoMUtnRlgzR3JxTUc0eHlKWFhXenh0c2pkMXVwM1lHd2JHSVVkcWF3SU9LUngyeGQzNVlpS3VoTjZSSTl2TlFJc3VubEd6SzJXZEQ3bHowQQ?oc=5,2020-04-30
Index: Trabalhadores aprovam acordo que garante salário e benefícios - SMETAL,SMETAL,Index: Trabalhadores aprovam acordo que garante salário e benefícios,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQZFh5dnRtb1BlQmJLbXkybkthcHZDWDhnUkJtamVYTVBXZTQtU1lobFhMOTRpQUJEb29GdExmMmpqTWcwVzU1UG14aEJGTEp2d1BDaG9oZGJUaUROdjNsYV9fdGVvd0xSZVVkeHdxd2FvZy13VWp6aEVrc3RRV3Nwa3hYZE11WTdvZkQ1QXFNNUVZbEZWTlZCSkIzLXlMdTF6?oc=5"" target=""_blank"">Index: Trabalhadores aprovam acordo que garante salário e benefícios</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SMETAL</font>",https://news.google.com/rss/articles/CBMioAFBVV95cUxQZFh5dnRtb1BlQmJLbXkybkthcHZDWDhnUkJtamVYTVBXZTQtU1lobFhMOTRpQUJEb29GdExmMmpqTWcwVzU1UG14aEJGTEp2d1BDaG9oZGJUaUROdjNsYV9fdGVvd0xSZVVkeHdxd2FvZy13VWp6aEVrc3RRV3Nwa3hYZE11WTdvZkQ1QXFNNUVZbEZWTlZCSkIzLXlMdTF6?oc=5,2020-04-28
Cervejaria 4 Árvores lança kit especial da grape ale Abbondanza Marselan - Catalisi,Catalisi,Cervejaria 4 Árvores lança kit especial da grape ale Abbondanza Marselan,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxNTmFDRS1TeHpIUF9jbUl0Ml9DR0tMcjhncXQ4Z3JsZXRxaE5xcHJBeUlTNzM1Rmdlb191aFJPWmo0ZUVJeWFBNThVX3JvT3o1NTVBWDVla0xFb0VKS3JhYmlxbjVEX1h1QVF3Q3BXejI2X1BaWEVreEIxVGk5NzBudUE4eGREQmtfb252NHl2SEFsX1dEakNLYWMtd0NJdw?oc=5"" target=""_blank"">Cervejaria 4 Árvores lança kit especial da grape ale Abbondanza Marselan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Catalisi</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxNTmFDRS1TeHpIUF9jbUl0Ml9DR0tMcjhncXQ4Z3JsZXRxaE5xcHJBeUlTNzM1Rmdlb191aFJPWmo0ZUVJeWFBNThVX3JvT3o1NTVBWDVla0xFb0VKS3JhYmlxbjVEX1h1QVF3Q3BXejI2X1BaWEVreEIxVGk5NzBudUE4eGREQmtfb252NHl2SEFsX1dEakNLYWMtd0NJdw?oc=5,2020-05-09
34 marcas se unem para lançar cerveja celebrativa dos 60 anos de Brasília - Guia da Cerveja,Guia da Cerveja,34 marcas se unem para lançar cerveja celebrativa dos 60 anos de Brasília,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE83OHNzWURrZjRjTlctdEJvSVJLZHk5WFpQOVJFbk1xTzlfeE5BT2ltNHZNTG9yNzR5ZDNEZkVlajhfNjZnbWpfX2JFNUJpZURvcEUzbVllMk02SzlYcV9fSkMxSnpFN1JiVHBnR051aDU?oc=5"" target=""_blank"">34 marcas se unem para lançar cerveja celebrativa dos 60 anos de Brasília</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Guia da Cerveja</font>",https://news.google.com/rss/articles/CBMicEFVX3lxTE83OHNzWURrZjRjTlctdEJvSVJLZHk5WFpQOVJFbk1xTzlfeE5BT2ltNHZNTG9yNzR5ZDNEZkVlajhfNjZnbWpfX2JFNUJpZURvcEUzbVllMk02SzlYcV9fSkMxSnpFN1JiVHBnR051aDU?oc=5,2020-04-26
Prussia Bier cria 4Pack com variações de suas IPAs - Catalisi,Catalisi,Prussia Bier cria 4Pack com variações de suas IPAs,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxNYzFTOWVlZFBhaElvNDVfNTExaDJoaVBLWERtNDRXNzVVcFVDSHRrcDdMRGNoeUpaU3VOcVl2b3plYmlFcjVpbDU3YzZuQlQyZE9JT3ZaMi1oZlgzTmNyWG5YYVNGOE9IR0J0NWxEemsxVVNXY1ozZm9CcWRSb1ZhVA?oc=5"" target=""_blank"">Prussia Bier cria 4Pack com variações de suas IPAs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Catalisi</font>",https://news.google.com/rss/articles/CBMigAFBVV95cUxNYzFTOWVlZFBhaElvNDVfNTExaDJoaVBLWERtNDRXNzVVcFVDSHRrcDdMRGNoeUpaU3VOcVl2b3plYmlFcjVpbDU3YzZuQlQyZE9JT3ZaMi1oZlgzTmNyWG5YYVNGOE9IR0J0NWxEemsxVVNXY1ozZm9CcWRSb1ZhVA?oc=5,2020-05-19
#QVNaQuarentena | Importância da música na vida das pessoas é tema de próxima live - Afubesp,Afubesp,#QVNaQuarentena | Importância da música na vida das pessoas é tema de próxima live,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNWmViVHJBYnQ3eDUxbGZNX2ZQcTk0YUMzMlpCZGRIVU5oM3FZVWFMSExzSkNaMjIzOEU0STJKTGR2dzh4dGoyRV9qZWZKOE1KZmo0bENqdHFmOERtLUpoN2tlXzdNcVFLRl9Vb1p6WWNPbmJaaENrTVJnTmYxX3k5TzJXbWpsc3ltV3JOT2hSb01sOE1BSXI4OTFzTUpWUE1nZmRNOXh3?oc=5"" target=""_blank"">#QVNaQuarentena | Importância da música na vida das pessoas é tema de próxima live</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Afubesp</font>",https://news.google.com/rss/articles/CBMipgFBVV95cUxNWmViVHJBYnQ3eDUxbGZNX2ZQcTk0YUMzMlpCZGRIVU5oM3FZVWFMSExzSkNaMjIzOEU0STJKTGR2dzh4dGoyRV9qZWZKOE1KZmo0bENqdHFmOERtLUpoN2tlXzdNcVFLRl9Vb1p6WWNPbmJaaENrTVJnTmYxX3k5TzJXbWpsc3ltV3JOT2hSb01sOE1BSXI4OTFzTUpWUE1nZmRNOXh3?oc=5,2020-05-18
Continue atualizado no mundo Contábil pelo Telegram - Contábeis,Contábeis,Continue atualizado no mundo Contábil pelo Telegram,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPczdKaVVPYWI3XzIzMktSeDg5bkdrOUV1N0ZVUEd4RWRuVDJYVEx6aWw0UDk1emx3dXRyVHE3a2FROFBsODBZV2ZBNHlVREZPTzVtcENzZzhNZVBlbmsxWWZOMkVQWXVteTU2N1hTRUJnMk9FTEIzeUVKSjZTWkZVb2twa2VtRzQ1TEp5SW53ODg1MUJpcTVpR0o0SWs?oc=5"" target=""_blank"">Continue atualizado no mundo Contábil pelo Telegram</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Contábeis</font>",https://news.google.com/rss/articles/CBMinAFBVV95cUxPczdKaVVPYWI3XzIzMktSeDg5bkdrOUV1N0ZVUEd4RWRuVDJYVEx6aWw0UDk1emx3dXRyVHE3a2FROFBsODBZV2ZBNHlVREZPTzVtcENzZzhNZVBlbmsxWWZOMkVQWXVteTU2N1hTRUJnMk9FTEIzeUVKSjZTWkZVb2twa2VtRzQ1TEp5SW53ODg1MUJpcTVpR0o0SWs?oc=5,2020-05-05
"Da Globo ao bolsonarismo: quem é o ator Mario Frias, cotado para a Cultura - Congresso em Foco",Congresso em Foco,"Da Globo ao bolsonarismo: quem é o ator Mario Frias, cotado para a Cultura","<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOZVB0UkE5QVFnM0xTYXRGVy10WWtyVThwMmJmX2hVRU11X01jaVpYcW02THlMeWVhZ0xfT1J2MTJvdUNFZ2lUN01JWlZEeF9ZTzJPUGpZNFFBNE1aa2k2aXhqSFRRNWJtT1ZvLXdFc1lidF9PNkhVQXFaWncwWWxQd0dPVk8tZFBZN3h4Tl9OZGdkOTRPVmUtRVFRdFVUMlFqeEh6VldHbWtydTZjc2R0ME9GT2pXOUJaenc3b21B?oc=5"" target=""_blank"">Da Globo ao bolsonarismo: quem é o ator Mario Frias, cotado para a Cultura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Congresso em Foco</font>",https://news.google.com/rss/articles/CBMivgFBVV95cUxOZVB0UkE5QVFnM0xTYXRGVy10WWtyVThwMmJmX2hVRU11X01jaVpYcW02THlMeWVhZ0xfT1J2MTJvdUNFZ2lUN01JWlZEeF9ZTzJPUGpZNFFBNE1aa2k2aXhqSFRRNWJtT1ZvLXdFc1lidF9PNkhVQXFaWncwWWxQd0dPVk8tZFBZN3h4Tl9OZGdkOTRPVmUtRVFRdFVUMlFqeEh6VldHbWtydTZjc2R0ME9GT2pXOUJaenc3b21B?oc=5,2020-05-20
APOIE O QUE É NOSSO - Folha Vitória,Folha Vitória,APOIE O QUE É NOSSO,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTFBxQWZ3ekNCQVdIQ3VuelhDSFhQZjVWbW4xN09jNGZ6Ulp4QzVIQXpSWXlpemFfWG5WbV9sZXhsQ0NJSkVNNHk5UlgwRExJemV0ZmZUb29MQVV4V1pEa1BHMzJEaXFKMHkxaGxQdkNB?oc=5"" target=""_blank"">APOIE O QUE É NOSSO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Folha Vitória</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTFBxQWZ3ekNCQVdIQ3VuelhDSFhQZjVWbW4xN09jNGZ6Ulp4QzVIQXpSWXlpemFfWG5WbV9sZXhsQ0NJSkVNNHk5UlgwRExJemV0ZmZUb29MQVV4V1pEa1BHMzJEaXFKMHkxaGxQdkNB?oc=5,2020-05-18
"A Constituição, o imposto sobre grandes fortunas e a reforma tributária - ConJur",ConJur,"A Constituição, o imposto sobre grandes fortunas e a reforma tributária","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPbE5tYl8weFcxWEpQLXRDMGpPOE1nRkIzaU9SNzU0cUZhczBwMTBDM2REckt3UWk4dnl6Um1JRnhVUHUzbjhpZkNvaF93aEVPekFIeDBkYXh2dURwLVFXVjRaN0daOE1udnhlRnVWZUdQODlxV09IVkl4RFBPR1kydmhncXRtR0NCOEtuTC1yeVB6WG5XSVhsdG1Pa3ExUlM0dGpCcldBWURyVE9rTWc3RVVlLWs?oc=5"" target=""_blank"">A Constituição, o imposto sobre grandes fortunas e a reforma tributária</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ConJur</font>",https://news.google.com/rss/articles/CBMitAFBVV95cUxPbE5tYl8weFcxWEpQLXRDMGpPOE1nRkIzaU9SNzU0cUZhczBwMTBDM2REckt3UWk4dnl6Um1JRnhVUHUzbjhpZkNvaF93aEVPekFIeDBkYXh2dURwLVFXVjRaN0daOE1udnhlRnVWZUdQODlxV09IVkl4RFBPR1kydmhncXRtR0NCOEtuTC1yeVB6WG5XSVhsdG1Pa3ExUlM0dGpCcldBWURyVE9rTWc3RVVlLWs?oc=5,2020-06-08
Segundo dia de evento do TIT debate a relação jurídico-tributária do ICMS em operações de Importação - Fazenda e Planejamento,Fazenda e Planejamento,Segundo dia de evento do TIT debate a relação jurídico-tributária do ICMS em operações de Importação,"<a href=""https://news.google.com/rss/articles/CBMioAJBVV95cUxQM1RrMDBuOGl3N0NURU52NTBDNWo0VUYzZjA2VU5fNEp4bUV0TC1HM2tuTEczMktjLWxJVktseFNSNjdVeEptYTNwZnljekpBTVdUbVBLemNpejA1ZWFmU0ktemJSTGNDTDNQZlFCSXU0QjVadlE0TzlyQnZvYlRLS1lvVUFuM1FNdkwtWmZIbW50Z3k0SDJRaExlaEZITzNGdmlpVkJ6SWw0NGMyS2cxVjJHQzZfUlR0YW5lOVhOYkRGLXU4NElrQW9RTGZZM2xQa3RPRGJyMEN1MC1rYUNjVTg0TnE3dmUxUkdMMHFTZG1CZ3hCUFZQaVZYOFo4d0FMcm5oZkxhdWJ5ZVdGRXNZZF8tZ2ZDOHBuMk5LVnFoNWc?oc=5"" target=""_blank"">Segundo dia de evento do TIT debate a relação jurídico-tributária do ICMS em operações de Importação</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fazenda e Planejamento</font>",https://news.google.com/rss/articles/CBMioAJBVV95cUxQM1RrMDBuOGl3N0NURU52NTBDNWo0VUYzZjA2VU5fNEp4bUV0TC1HM2tuTEczMktjLWxJVktseFNSNjdVeEptYTNwZnljekpBTVdUbVBLemNpejA1ZWFmU0ktemJSTGNDTDNQZlFCSXU0QjVadlE0TzlyQnZvYlRLS1lvVUFuM1FNdkwtWmZIbW50Z3k0SDJRaExlaEZITzNGdmlpVkJ6SWw0NGMyS2cxVjJHQzZfUlR0YW5lOVhOYkRGLXU4NElrQW9RTGZZM2xQa3RPRGJyMEN1MC1rYUNjVTg0TnE3dmUxUkdMMHFTZG1CZ3hCUFZQaVZYOFo4d0FMcm5oZkxhdWJ5ZVdGRXNZZF8tZ2ZDOHBuMk5LVnFoNWc?oc=5,2020-06-05
Proposta institui regime tributário especial na pandemia para empresas de transporte - Portal da Câmara dos Deputados,Portal da Câmara dos Deputados,Proposta institui regime tributário especial na pandemia para empresas de transporte,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNREZtZ01lZzBHMHdablZrNkFYd2xzUWhmTGVwdzlSMksxU0E1dlpkeFp0dzJUVTZwYlJqQ3RrZ1g2dm5nOG96akhHdjFxSmZYaUxlUTdzU3RZZjhxMzVxZjU5eE9mcWpHU2R6eWFKSnVXamVicDNZSkRiVnJhYmVjd0dGcDRjTHRMWVJVTnoxOWpEbnpVTkd2Vk9ySzRWTFZHRVk1ei14VkNrMDQyOHJhT2l2VEpITW9vUmRGcmZJZW9Dc3lvT2c?oc=5"" target=""_blank"">Proposta institui regime tributário especial na pandemia para empresas de transporte</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Portal da Câmara dos Deputados</font>",https://news.google.com/rss/articles/CBMixgFBVV95cUxNREZtZ01lZzBHMHdablZrNkFYd2xzUWhmTGVwdzlSMksxU0E1dlpkeFp0dzJUVTZwYlJqQ3RrZ1g2dm5nOG96akhHdjFxSmZYaUxlUTdzU3RZZjhxMzVxZjU5eE9mcWpHU2R6eWFKSnVXamVicDNZSkRiVnJhYmVjd0dGcDRjTHRMWVJVTnoxOWpEbnpVTkd2Vk9ySzRWTFZHRVk1ei14VkNrMDQyOHJhT2l2VEpITW9vUmRGcmZJZW9Dc3lvT2c?oc=5,2020-06-22
Jefferson Viana: reforma da previdência deve voltar à pauta em 2021 - O POVO,O POVO,Jefferson Viana: reforma da previdência deve voltar à pauta em 2021,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPS05QaTVfQU9oR2dxQ3F2b2t5UkRMTDVnYUFRSjBEMnBnSjBvRmtfOE1TcmZKazNZSjV4dUNGWXJGc1JaQlVrUmdXcWI3dHJJRkZZLTQxRy00aExYdDN5U1ZfQkJIbDJ2MlpnTXNEMDh3WmdlUEl4UmxqeURhTktEVVhuOFNPSmMwSDZ6cDFnY0dGdG1ickN2UHprTE5lWUZuYjUxSkFkalJ1VlMyaGwySWFJUHhtN1lKbnVMc3pxQU5UUE0?oc=5"" target=""_blank"">Jefferson Viana: reforma da previdência deve voltar à pauta em 2021</a>&nbsp;&nbsp;<font color=""#6f6f6f"">O POVO</font>",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPS05QaTVfQU9oR2dxQ3F2b2t5UkRMTDVnYUFRSjBEMnBnSjBvRmtfOE1TcmZKazNZSjV4dUNGWXJGc1JaQlVrUmdXcWI3dHJJRkZZLTQxRy00aExYdDN5U1ZfQkJIbDJ2MlpnTXNEMDh3WmdlUEl4UmxqeURhTktEVVhuOFNPSmMwSDZ6cDFnY0dGdG1ickN2UHprTE5lWUZuYjUxSkFkalJ1VlMyaGwySWFJUHhtN1lKbnVMc3pxQU5UUE0?oc=5,2020-06-19
Senado aprova convocação para ouvir ministro da Educação — Senado Notícias - Senado,Senado,Senado aprova convocação para ouvir ministro da Educação — Senado Notícias,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNRjVQdklrV0QySTR3NUNmWjNFc05xU1VxTm1DVVluN25yRklfXy1SMXpRcDlfQTdUWmswaHZQalVaUnZBZ184VUVkZ29kTlpja0hxZGhrVlplem5ZQlpQazhtX2VpbGxVSUZoTzdaVlIzR0tFZGVmb0JlNkl6Sm5yazAxS0w1TkphX0Q3dGhsVXdacE9lNjNaN2Fjd3UzcFdDQTFuT3pjMjBpVzZX?oc=5"" target=""_blank"">Senado aprova convocação para ouvir ministro da Educação — Senado Notícias</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Senado</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxNRjVQdklrV0QySTR3NUNmWjNFc05xU1VxTm1DVVluN25yRklfXy1SMXpRcDlfQTdUWmswaHZQalVaUnZBZ184VUVkZ29kTlpja0hxZGhrVlplem5ZQlpQazhtX2VpbGxVSUZoTzdaVlIzR0tFZGVmb0JlNkl6Sm5yazAxS0w1TkphX0Q3dGhsVXdacE9lNjNaN2Fjd3UzcFdDQTFuT3pjMjBpVzZX?oc=5,2020-05-25
